CustomerID,Name,AvgDaysBetweenOrders
176,"James White",1.00
389,"Duane Perry",1.00
803,"Courtney Galloway",1.00
182,"Monique Miller",1.00
91,"Dawn Baker",100.00
636,"Terry Parrish",100.00
112,"Denise Schmidt",100.00
800,"Julia Brennan",100.00
184,"Debra Evans",100.00
917,"Cody Bowman",100.33
810,"Tanya Kelley",100.50
453,"Mr. Patrick Craig",100.67
586,"Richard Nunez",101.67
333,"Alexandra Bradley",101.83
270,"Carol Jones",102.00
826,"Sara Schmidt",102.00
739,"Steven Sanders",102.00
866,"Patricia Davis",102.00
668,"Lisa Chase",102.00
941,"Michaela Pratt",102.33
236,"Justin Wilkinson",102.33
614,"Tara Doyle",102.67
440,"Sarah Thomas",103.00
514,"Christopher Baker",103.33
653,"Melanie Stewart",103.60
865,"James Drake",104.00
877,"Alison Lee",104.00
878,"Christine Watson",104.00
193,"Dominique Brown",104.10
745,"Tracey Medina",104.67
998,"Sarah Rivera",104.67
690,"James Smith",104.89
615,"Katie Flores",105.00
519,"Brett Coleman",105.00
312,"Dawn Lee",105.33
794,"Bailey Roberts",106.00
987,"Julia Bowen",106.00
640,"Dennis Christian",106.00
529,"Mrs. Jessica Wilson",106.44
595,"Gwendolyn Bradley",106.47
733,"Walter Price",107.17
156,"Paul Shepherd",107.33
155,"Lisa Martinez",107.40
965,"Samuel Davis",107.40
178,"Leah Griffin",107.50
762,"Alexandra Williams",107.60
66,"Kelsey Holder",107.80
814,"Mia Richardson",108.00
721,"Victoria Johnson",108.00
501,"Peter Waller",108.00
243,"Christine Gonzalez",108.00
191,"Brian Ali",108.67
961,"Sarah Carpenter",108.67
3,"Amber Carter",109.00
715,"Julie White",109.00
432,"Anthony Wade",109.33
139,"Jeremy Rodriguez",109.33
883,"Glenn Grant",109.33
169,"Alice Carpenter",109.33
981,"Jason Roach",109.40
811,"Tracey Miller",109.50
95,"Walter Huang",11.00
220,"Dennis Harris",11.00
857,"Stephanie Terry",11.00
894,"Scott Williams",110.00
298,"Ryan Sims",110.40
55,"Shannon Kelly",110.67
995,"Philip Rodriguez",110.67
382,"Raymond Hardy",111.00
697,"Christina May",111.00
700,"James Choi",111.00
620,"James Ewing",111.33
390,"David Jacobson",111.83
548,"Aaron Vance",112.00
673,"Jeffrey Williams",112.60
47,"Steven Hill",112.67
890,"David Ortiz",113.17
90,"Kristin Alexander",113.43
257,"Dennis Taylor",114.00
538,"Nicholas Knight",114.00
280,"Michael Hull",114.00
708,"Tammy Williams",114.00
681,"Kari Miller",114.00
105,"Derek Barnes",114.00
50,"Christopher Baker",114.50
372,"Robin Stephens",114.67
491,"Emily Johnson",115.00
747,"Allison Morgan",115.00
531,"Carolyn Reed",115.07
577,"Donald Tran",115.67
108,"Anthony Ramos",115.98
397,"Tiffany Russell",116.00
813,"Michelle Ponce",116.00
667,"Rebekah Carter",116.33
992,"Gabriella Trujillo",116.33
279,"Michael Valenzuela",116.67
818,"Pamela Brown",117.17
539,"William Heath",117.50
711,"Shawn Coffey",117.50
329,"Andrew Lee",118.00
591,"Lisa Howard",118.00
597,"Amy Figueroa",118.00
181,"Mrs. Monica Peters MD",118.67
671,"Patrick Beck",119.00
458,"Sarah Leonard",119.33
359,"Daniel Mason",119.80
317,"James Fletcher",119.93
346,"Paul Dixon",12.00
248,"Lori Chang",12.00
684,"Michael Fitzgerald",120.00
946,"Robert Bradley",120.00
821,"Scott Moody",120.00
859,"Wanda Jennings",120.00
678,"Sean Johnson",120.00
956,"Cynthia Cummings",120.00
819,"Sara Williams",120.60
43,"Frank Orr",120.67
29,"Julia Brown",121.10
761,"Deborah Lewis",121.33
729,"Gabriela Wilson",121.33
71,"Margaret Scott",122.00
740,"Melissa Huff",122.00
795,"Hannah Wells",122.00
880,"Tonya Mcneil",122.67
919,"Hunter Mercer",123.00
969,"Sharon Shaffer",123.33
418,"Justin Robinson",123.67
641,"Richard Beltran",124.17
556,"Jason Johnson",124.33
727,"Johnny Parker",124.38
61,"Christopher Lucas",124.67
655,"Matthew Richards",124.67
345,"Anna Bryant",124.67
370,"Stephen Mccoy",125.00
275,"David Wilson",125.00
92,"Caroline Ward",125.33
504,"Jeffrey Cooley",125.33
876,"Andrea Flores",126.00
780,"Ryan Miller",126.00
807,"Nathan Rowe",126.00
910,"Noah Collins",126.00
