CustomerID,Name,AvgOrderValue
598,"Debbie Jefferson",997.24
955,"Dennis Fitzpatrick",990.54
265,"Daniel Ramirez",989.08
652,"Heather Mccall",987.58
466,"Debra Santiago",98.07
293,"Michelle Maddox",970.38
926,"Amanda Powell",966.66
567,"Zachary Hicks",965.18
12,"Tony Gross",962.71
949,"Andrea Ruiz",960.21
262,"Toni Scott",958.23
928,"Rhonda Lopez",957.23
373,"Jennifer Palmer",956.42
175,"Tina Gilmore",953.98
576,"Christopher Nelson",953.69
464,"Teresa Carpenter",953.36
229,"Mark Reyes",952.75
452,"Jason Summers",952.67
630,"Melissa Smith",951.71
696,"Mark Carter",950.96
862,"Kristin Hess",95.95
82,"Melissa Riley",949.42
501,"Peter Waller",945.32
675,"Kathryn Jones",939.99
21,"Susan Black",939.39
600,"Sierra Gonzalez",934.21
912,"Monica Steele",93.61
318,"Robert Waller",924.50
235,"Lisa Hurst",918.17
499,"Daniel Holt",915.78
881,"Oscar Carter",913.73
707,"William Allen",912.18
74,"Matthew Werner",904.71
117,"Tyrone Hicks",901.59
835,"Angela Lopez",901.17
276,"William Mcdaniel",895.17
892,"Daniel Edwards",89.01
725,"Logan Cobb",880.96
3,"Amber Carter",880.87
759,"William Koch",879.16
863,"Jessica Kennedy",873.24
238,"Nicole Russell",871.29
178,"Leah Griffin",869.11
239,"James Davidson",867.37
86,"Andrew Pham",866.23
578,"Matthew Stewart",865.42
162,"Ashley Krueger",865.00
13,"Kyle Yang",864.68
717,"James Williams",863.58
848,"Michael Lee",862.24
382,"Raymond Hardy",862.16
489,"Jordan Villegas",859.75
854,"Jasmine Nguyen",858.25
345,"Anna Bryant",855.54
746,"Jennifer Duran",855.04
267,"Margaret Montgomery",853.30
692,"Gary Martinez Jr.",853.19
834,"Ronald Wilson",848.47
693,"Joseph Evans",846.54
699,"Roger Brown",846.38
368,"Tammy Williams",845.56
154,"Joseph Jennings",845.55
470,"Robert Brown",844.36
351,"Julia Harrison",84.22
740,"Melissa Huff",839.63
398,"Daniel Wiggins",838.16
198,"Nicole Cunningham",835.79
606,"Travis Williams",834.52
354,"Thomas Ramirez",831.55
950,"Robert Hammond",827.31
226,"Edwin Thomas",820.38
596,"Kimberly Sawyer",819.30
623,"Joseph Brown",818.86
776,"Jennifer Hernandez",815.99
122,"Miss Amanda Williams",813.99
151,"Brooke Sutton",812.86
236,"Justin Wilkinson",806.62
242,"Adrienne Carrillo",805.12
218,"Samantha Odonnell",804.50
922,"Mrs. Mary Johnson",803.19
1,"Michelle Livingston",802.78
177,"Alejandro Green",80.28
328,"Paul Garza",799.89
48,"Gregory Powell",799.78
791,"Jodi Dominguez",799.46
607,"Hannah Martinez",795.29
765,"Daniel Brooks",791.31
216,"Richard Dean",791.19
878,"Christine Watson",791.11
71,"Margaret Scott",791.09
976,"Mrs. Laura Little",785.65
27,"Karen Graham DDS",78.30
212,"Melinda Heath",779.06
30,"Adam Newman",778.87
769,"Mrs. Lisa Griffith",776.55
626,"Michael Jackson",771.24
636,"Terry Parrish",77.49
591,"Lisa Howard",769.57
573,"Amber Obrien",767.34
57,"Jeffrey Davis",766.46
386,"Charles Elliott",765.37
873,"Christine Harris",761.40
534,"John Mccormick",760.95
250,"Michelle Lucas",759.91
359,"Daniel Mason",759.73
601,"Teresa Lutz",758.75
144,"Veronica Morris",755.97
410,"Rhonda Walker",755.73
338,"Brandi Romero",755.28
112,"Denise Schmidt",754.88
546,"Lisa Juarez",752.89
883,"Glenn Grant",752.86
133,"Joyce Jones",752.79
779,"Cory King",752.55
911,"Kevin Morrison",751.89
831,"Michelle Becker",749.51
374,"Colleen Davila",747.35
809,"Phillip Johnson",747.15
68,"Ruth Shields",746.99
914,"Michael Brennan",746.60
597,"Amy Figueroa",746.35
199,"Miss Jane Johnson",746.16
851,"John Rowland",744.00
792,"Michael Harper",743.51
915,"Maurice Sanders",741.54
363,"Trevor Martinez",740.19
760,"Cynthia Waters",74.66
257,"Dennis Taylor",739.70
176,"James White",738.72
668,"Lisa Chase",738.65
688,"Crystal Hubbard",737.35
529,"Mrs. Jessica Wilson",734.63
446,"Sandra Cooper",734.33
781,"Lisa Snow",733.36
402,"Destiny Fernandez",732.59
587,"Elizabeth Owen",732.46
223,"Krystal Gregory",732.11
520,"Carla Arnold",729.50
966,"Matthew Brooks",729.39
136,"Mark Hendricks",728.31
84,"Evan Riley",726.91
438,"Robert Williams",725.86
449,"John Wells",725.46
426,"Susan Taylor",725.12
822,"Alejandro Miller",724.98
893,"Alvin Mendoza",724.29
818,"Pamela Brown",718.92
31,"Jeanne Carpenter",718.86
904,"Shelly Allen",718.44
745,"Tracey Medina",717.98
283,"Ronald Garcia",717.78
487,"Christine James",717.75
654,"Aaron Smith",71.99
989,"John Taylor",709.36
872,"Hector Davis",708.73
879,"Jeffrey Mendoza",708.21
83,"Ryan Nguyen",707.78
828,"Jocelyn Myers",704.20
656,"Andrew Taylor",703.40
857,"Stephanie Terry",702.34
433,"Jennifer Garcia",701.07
572,"Shannon Perez",701.02
853,"Mark Blankenship",701.00
444,"Melissa Greene",700.59
837,"Charles Lowe",699.74
92,"Caroline Ward",698.93
22,"Bethany Weaver",698.54
510,"Lawrence Hernandez",697.83
842,"William Blankenship",697.61
65,"Victor Morales",697.30
417,"Brittany Cross",697.09
132,"Nicholas Sanders",696.54
16,"Brian Hardy",696.23
145,"Ricky Gonzalez",695.15
628,"Stacey Elliott",694.63
889,"Dylan Le",693.62
506,"Martin Young",693.44
916,"Katie Young",691.97
697,"Christina May",691.86
583,"Sara Mendoza",691.32
284,"Alexandria Walker",691.31
104,"Scott Henry",689.84
