CustomerID,Name,CustomerSegment,TotalSpent
598,"Debbie Jefferson",Medium-Value,997.24
157,"Brenda Wright",Medium-Value,996.04
346,"Paul Dixon",Medium-Value,995.57
782,"Samuel Williams",Medium-Value,993.37
477,"David Brown",Medium-Value,992.59
894,"Scott Williams",Medium-Value,991.21
955,"Dennis Fitzpatrick",Medium-Value,990.54
265,"Daniel Ramirez",Medium-Value,989.08
652,"Heather Mccall",Medium-Value,987.58
389,"Duane Perry",Medium-Value,986.88
174,"Austin Rowe",Medium-Value,986.64
802,"Andrew Monroe",Medium-Value,985.77
929,"Hannah Miller",Medium-Value,983.23
514,"Christopher Baker",Medium-Value,982.27
622,"Michael Baker",Medium-Value,980.67
466,"Debra Santiago",Low-Value,98.07
826,"Sara Schmidt",Medium-Value,977.19
788,"Thomas Beasley",Medium-Value,975.12
9,"Victoria Fowler",Medium-Value,974.62
564,"Kimberly Burgess",Medium-Value,972.03
76,"Andrew Horton",Medium-Value,971.02
32,"Lisa Nguyen",Medium-Value,970.00
926,"Amanda Powell",Medium-Value,966.66
567,"Zachary Hicks",Medium-Value,965.18
12,"Tony Gross",Medium-Value,962.71
787,"Michael Patterson",Medium-Value,962.55
280,"Michael Hull",Medium-Value,961.02
803,"Courtney Galloway",Medium-Value,960.87
949,"Andrea Ruiz",Medium-Value,960.21
262,"Toni Scott",Medium-Value,958.23
928,"Rhonda Lopez",Medium-Value,957.23
88,"Elizabeth Lucas",Medium-Value,957.20
373,"Jennifer Palmer",Medium-Value,956.42
646,"Jeremy Mueller",Medium-Value,955.82
175,"Tina Gilmore",Medium-Value,953.98
576,"Christopher Nelson",Medium-Value,953.69
464,"Teresa Carpenter",Medium-Value,953.36
452,"Jason Summers",Medium-Value,952.67
696,"Mark Carter",Medium-Value,950.96
862,"Kristin Hess",Low-Value,95.95
82,"Melissa Riley",Medium-Value,949.42
416,"Shannon Clark",Medium-Value,949.17
767,"Charlotte Haynes",Medium-Value,945.94
608,"Jeffery Andersen",Medium-Value,941.48
271,"Mitchell Smith",Medium-Value,941.23
43,"Frank Orr",Medium-Value,940.73
675,"Kathryn Jones",Medium-Value,939.99
634,"Steven Ward",Medium-Value,939.72
21,"Susan Black",Medium-Value,939.39
715,"Julie White",Medium-Value,937.39
156,"Paul Shepherd",Medium-Value,934.34
422,"Sheila Woods",Medium-Value,931.61
91,"Dawn Baker",Medium-Value,931.20
558,"George Johnson",Medium-Value,930.49
912,"Monica Steele",Low-Value,93.61
747,"Allison Morgan",Medium-Value,929.74
318,"Robert Waller",Medium-Value,924.50
33,"Kevin Ford",Medium-Value,920.92
985,"Alicia Cruz",Medium-Value,919.91
235,"Lisa Hurst",Medium-Value,918.17
954,"Cassandra Maynard",Medium-Value,916.88
707,"William Allen",Medium-Value,912.18
755,"Becky Smith",Medium-Value,910.85
11,"Zachary Smith",Medium-Value,903.53
117,"Tyrone Hicks",Medium-Value,901.59
771,"Savannah Delgado",Medium-Value,900.98
892,"Daniel Edwards",Low-Value,89.01
107,"James Rodriguez",Medium-Value,889.04
352,"Lisa Wood",Medium-Value,887.42
725,"Logan Cobb",Medium-Value,880.96
759,"William Koch",Medium-Value,879.16
685,"Shawn Mckee",Medium-Value,878.55
45,"Laura Shannon",Medium-Value,875.76
336,"Samantha Smith",Medium-Value,872.12
238,"Nicole Russell",Medium-Value,871.29
150,"Julia Turner",Medium-Value,868.53
588,"Pamela House",Medium-Value,867.47
239,"James Davidson",Medium-Value,867.37
86,"Andrew Pham",Medium-Value,866.23
615,"Katie Flores",Medium-Value,865.82
578,"Matthew Stewart",Medium-Value,865.42
13,"Kyle Yang",Medium-Value,864.68
936,"Cesar Jones",Medium-Value,863.81
717,"James Williams",Medium-Value,863.58
848,"Michael Lee",Medium-Value,862.24
103,"Carrie Nunez",Medium-Value,857.35
746,"Jennifer Duran",Medium-Value,855.04
993,"Kyle Kennedy",Medium-Value,854.74
425,"Felicia Rodriguez",Medium-Value,854.39
834,"Ronald Wilson",Medium-Value,848.47
693,"Joseph Evans",Medium-Value,846.54
432,"Anthony Wade",Medium-Value,846.06
898,"Alicia Davis",Medium-Value,846.05
154,"Joseph Jennings",Medium-Value,845.55
470,"Robert Brown",Medium-Value,844.36
351,"Julia Harrison",Low-Value,84.22
398,"Daniel Wiggins",Medium-Value,838.16
859,"Wanda Jennings",Medium-Value,835.95
